what,kind,bundleId,bundleVersion,description,time
arch,sysinfo,,,"x86_64",1535979510849
ws,sysinfo,,,"win32",1535979510849
locale,sysinfo,,,"en_US",1535979510849
processors,sysinfo,,,"4",1535979510849
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1535979510849
java.runtime.version,sysinfo,,,"1.8.0_172-b11",1535979510849
java.specification.name,sysinfo,,,"Java Platform API Specification",1535979510849
java.specification.vendor,sysinfo,,,"Oracle Corporation",1535979510849
java.specification.version,sysinfo,,,"1.8",1535979510849
java.vendor,sysinfo,,,"Oracle Corporation",1535979510849
java.version,sysinfo,,,"1.8.0_172",1535979510849
java.vm.info,sysinfo,,,"mixed mode",1535979510849
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1535979510849
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1535979510849
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1535979510849
java.vm.specification.version,sysinfo,,,"1.8",1535979510849
java.vm.vendor,sysinfo,,,"Oracle Corporation",1535979510849
java.vm.version,sysinfo,,,"25.172-b11",1535979510849
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1535979512101
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1535979512516
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1535979524612
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1535979530314
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1535979530396
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1535979531790
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1535979531868
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1535979534975
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1535979543692
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1535979561147
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1535979567613
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1535979572359
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1535979572511
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1535979573347
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1535979576846
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1535979582951
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1535979583084
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1535979585001
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1535979588391
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1535979592514
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1535979598778
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1535979614989
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1535979617023
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1535979625262
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1535979628934
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1535979629054
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1535979631405
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1535979632264
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1536045850949
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1536045851465
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1536045853420
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1536045853520
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1536045854625
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1536045854857
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1536045855390
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1536324005671
started,bundle,org.eclipse.osgi,3.6.1.R36x_v20100806,"org.eclipse.osgi",1536324005672
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1536324005673
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1536324005673
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1536324005673
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1536324005674
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1536324005675
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1536324005675
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1536324005676
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1536324005677
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1536324005677
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1536324005678
started,bundle,org.eclipse.core.resources,3.6.0.R36x_v20100825-0600,"org.eclipse.core.resources",1536324005679
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1536324005680
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1536324005680
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1536324005681
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1536324005682
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1536324005683
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.0.R201005261100,"org.eclipse.epp.usagedata.gathering",1536324005684
started,bundle,org.eclipse.epp.usagedata.recording,1.3.0.R201005261100,"org.eclipse.epp.usagedata.recording",1536324005685
started,bundle,org.eclipse.equinox.app,1.3.1.R36x_v20100803,"org.eclipse.equinox.app",1536324005685
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1536324005686
started,bundle,org.eclipse.equinox.ds,1.2.1.R36x_v20100803,"org.eclipse.equinox.ds",1536324005687
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1536324005688
started,bundle,org.eclipse.equinox.p2.core,2.0.2.R36x_v20100804,"org.eclipse.equinox.p2.core",1536324005689
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.202.R36x_v20100727,"org.eclipse.equinox.p2.directorywatcher",1536324005689
started,bundle,org.eclipse.equinox.p2.engine,2.0.0.v20100606,"org.eclipse.equinox.p2.engine",1536324005690
started,bundle,org.eclipse.equinox.p2.metadata,2.0.0.v20100601,"org.eclipse.equinox.p2.metadata",1536324005691
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1536324005692
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1536324005693
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.0.v20100525,"org.eclipse.equinox.p2.reconciler.dropins",1536324005694
started,bundle,org.eclipse.equinox.p2.repository,2.0.1.R36x_v20100823,"org.eclipse.equinox.p2.repository",1536324005694
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1536324005695
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1536324005696
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1536324005696
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1536324005697
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1536324005697
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1536324005698
